Main Folder,Sensor Name Path,File Name,File Path,Sampling Frequency (Hz),Sensor Name
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\GPS,GPS_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\GPS\GPS_007_Fast_stbd_turn_1.csv,0.9999922481221076,GPS
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_3,accel_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_3\accel_007_Fast_stbd_turn_1.csv,200.0,Sensor_3
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_3,angle_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_3\angle_007_Fast_stbd_turn_1.csv,200.0,Sensor_3
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_3,gyro_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_3\gyro_007_Fast_stbd_turn_1.csv,200.0,Sensor_3
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_3,mag_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_3\mag_007_Fast_stbd_turn_1.csv,200.0,Sensor_3
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_4,accel_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_4\accel_007_Fast_stbd_turn_1.csv,200.0000001760697,Sensor_4
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_4,angle_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_4\angle_007_Fast_stbd_turn_1.csv,200.0000001760697,Sensor_4
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_4,gyro_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_4\gyro_007_Fast_stbd_turn_1.csv,200.0000001760697,Sensor_4
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_4,mag_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_4\mag_007_Fast_stbd_turn_1.csv,200.0000001760697,Sensor_4
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_5,accel_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_5\accel_007_Fast_stbd_turn_1.csv,200.0000001760697,Sensor_5
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_5,angle_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_5\angle_007_Fast_stbd_turn_1.csv,200.0000001760697,Sensor_5
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_5,gyro_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_5\gyro_007_Fast_stbd_turn_1.csv,200.0000001760697,Sensor_5
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_5,mag_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_5\mag_007_Fast_stbd_turn_1.csv,200.0000001760697,Sensor_5
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_wb,accel_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_wb\accel_007_Fast_stbd_turn_1.csv,100.3923378647787,Sensor_wb
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_wb,angle_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_wb\angle_007_Fast_stbd_turn_1.csv,100.3923378647787,Sensor_wb
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_wb,gyro_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_wb\gyro_007_Fast_stbd_turn_1.csv,100.3923378647787,Sensor_wb
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_wb,mag_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_wb\mag_007_Fast_stbd_turn_1.csv,100.3923378647787,Sensor_wb
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_wnb,accel_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_wnb\accel_007_Fast_stbd_turn_1.csv,7.466481726254476,Sensor_wnb
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_wnb,angle_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_wnb\angle_007_Fast_stbd_turn_1.csv,7.466481726254476,Sensor_wnb
007_Fast_stbd_turn_1,007_Fast_stbd_turn_1\IMU\Sensor_wnb,gyro_007_Fast_stbd_turn_1.csv,./007_Fast_stbd_turn_1\IMU\Sensor_wnb\gyro_007_Fast_stbd_turn_1.csv,7.466481726254476,Sensor_wnb
